City_ID,City,Country,Max Temp (F),Current Description,Lat,Lng,Hotel Name
17,Rikitea,PF,78.24,overcast clouds,-23.1203,-134.9692,People ThankYou
18,Bandarbeyla,SO,75.56,scattered clouds,9.4942,50.8122,JABIR HOTEL
22,Vaini,TO,75.22,moderate rain,-21.2,-175.2,Keleti Beach Resort
23,Atuona,PF,79.03,scattered clouds,-9.8,-139.0333,Villa Enata
24,Kapaa,US,77.18,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
25,San Eduardo,PH,79.43,broken clouds,12.1679,125.4503,Kirum-Kirum Resort and Hotel
30,Port Macquarie,AU,80.89,scattered clouds,-31.4333,152.9167,Rydges Port Macquarie
35,Trat,TH,80.98,few clouds,12.5,102.5,สวนหนิง-อัศ
37,Saint-Philippe,RE,76.59,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
42,Port Hedland,AU,86.05,clear sky,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
44,Pouembout,NC,85.12,few clouds,-21.1333,164.9,Camping de Tipenga
58,Bambous Virieux,MU,76.21,overcast clouds,-20.3428,57.7575,Casa Tia Villa
59,Agbor,NG,77.99,few clouds,6.2518,6.1934,MIRAMAS HOTEL
61,Pangai,TO,80.71,overcast clouds,-19.8,-174.35,Ha'apai Beach Resort
66,Butaritari,KI,81.48,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
68,Elmina,GH,81.03,broken clouds,5.0898,-1.348,Esteem Kofi and Adjoa Guesthouse
69,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
70,Byron Bay,AU,80.71,scattered clouds,-28.65,153.6167,Backpackers Inn
73,Mount Gambier,AU,77.56,broken clouds,-37.8333,140.7667,The Commodore
75,Bubaque,GW,79.45,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
79,Avarua,CK,84.25,broken clouds,-21.2078,-159.775,Paradise Inn
85,Mar Del Plata,AR,75.0,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
87,Kahului,US,79.97,clear sky,20.8947,-156.47,Maui Seaside Hotel
91,Quepos,CR,80.58,clear sky,9.4236,-84.1652,Jungle Beach Hotel at Manuel Antonio
101,Hilo,US,80.33,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
105,Maceio,BR,79.93,few clouds,-9.6658,-35.7353,Poutur Pousada
106,Soubre,CI,76.21,broken clouds,5.7856,-6.6083,Lynd Hotels Soubre
110,Necochea,AR,82.04,overcast clouds,-38.5473,-58.7368,dyd -mar Hotel
112,Kaeo,NZ,80.33,overcast clouds,-35.1,173.7833,Bushido Lodge
116,Mackay,AU,85.68,scattered clouds,-21.15,149.2,International Lodge Motel
117,Puerto El Triunfo,SV,80.76,clear sky,13.2833,-88.55,Hotel Jardin
119,The Valley,AI,78.1,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
124,San Policarpo,PH,80.06,broken clouds,12.1791,125.5072,Agapita M. Nicart
130,Dingle,PH,77.9,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
134,Houma,US,75.02,scattered clouds,29.5958,-90.7195,Courtyard by Marriott Houma
141,Trairi,BR,78.6,overcast clouds,-3.2778,-39.2689,janelas do mar
143,Morada Nova,BR,79.86,moderate rain,-5.1067,-38.3725,PIZZARIA MARIANA
145,Bairiki,KI,81.41,overcast clouds,1.3292,172.9752,Tarawa Boutique Hotel
147,Hithadhoo,MV,81.45,scattered clouds,-0.6,73.0833,Scoop Guest House
150,Kavaratti,IN,79.7,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
153,Bireun,ID,76.69,overcast clouds,5.203,96.7009,Rumah Bp.AR. ISMAIL
159,Namatanai,PG,84.02,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
162,Itarema,BR,80.02,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
171,Popondetta,PG,87.85,overcast clouds,-8.7537,148.2534,Timos Transit House
177,Sinnamary,GF,75.9,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
181,Souillac,MU,76.35,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
182,Touros,BR,80.87,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
184,Takoradi,GH,81.12,scattered clouds,4.8845,-1.7554,Raybow International Hotel
192,Ballarat,AU,83.98,clear sky,-37.5662,143.8496,Quest Ballarat
198,Kapit,MY,75.31,broken clouds,2.0167,112.9333,Hotel Meligai Kapit
201,Cayenne,GF,80.1,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
207,Bathsheba,BB,77.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
209,Bambanglipuro,ID,78.76,moderate rain,-7.95,110.2833,Puri Brata
212,Sola,VU,82.67,overcast clouds,-13.8833,167.55,Leumerus Bungalows
214,Dubbo,AU,82.53,overcast clouds,-32.25,148.6167,Quality Inn Dubbo International
216,Tonj,SS,81.86,overcast clouds,7.2737,28.6822,Lakan Hotel
221,Sabang,ID,80.55,broken clouds,5.8933,95.3214,Hotel Citra
225,Acapulco,MX,82.22,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
