City_ID,City,Country,Lat,Lng,Max Temp (F),Humidity,Cloudiness,Wind Speed,Current Description
0,Jamestown,US,42.097,-79.2353,33.08,60,100,3.13,overcast clouds
1,Kodiak,US,57.79,-152.4072,29.79,67,100,7.44,overcast clouds
2,Ranfurly,NZ,-45.1333,170.1,69.06,56,43,0.91,scattered clouds
3,Mataura,NZ,-46.1927,168.8643,68.49,51,68,0.65,broken clouds
4,Barrow,US,71.2906,-156.7887,-16.58,63,0,0.0,clear sky
5,Mount Isa,AU,-20.7333,139.5,94.77,24,24,4.12,few clouds
6,Cape Town,ZA,-33.9258,18.4232,67.12,78,89,3.38,overcast clouds
7,Grindavik,IS,63.8424,-22.4338,41.47,93,100,23.15,heavy intensity rain
8,Port Elizabeth,ZA,-33.918,25.5701,69.1,94,75,7.2,broken clouds
9,Cherskiy,RU,68.75,161.3,-16.1,98,100,1.39,overcast clouds
10,Ishigaki,JP,24.3448,124.1572,69.35,76,93,9.67,overcast clouds
11,Marsa Matruh,EG,31.3525,27.2453,55.96,69,24,11.3,few clouds
12,Busselton,AU,-33.65,115.3333,66.04,59,80,5.44,broken clouds
13,Ler,SS,8.3018,30.1418,81.55,30,100,1.88,overcast clouds
14,Albany,US,42.6001,-73.9662,38.73,91,100,0.45,overcast clouds
15,Araouane,ML,18.9048,-3.5265,59.88,16,90,4.95,overcast clouds
16,Usevya,TZ,-7.1,31.2333,66.47,96,100,2.0,overcast clouds
17,Rikitea,PF,-23.1203,-134.9692,78.24,79,100,8.58,overcast clouds
18,Bandarbeyla,SO,9.4942,50.8122,75.56,66,37,8.71,scattered clouds
19,Yellowknife,CA,62.456,-114.3525,-25.58,88,75,1.54,broken clouds
20,Aksha,RU,50.2814,113.2867,-13.68,95,5,1.09,clear sky
21,Torbay,CA,47.6666,-52.7314,28.76,79,100,1.34,light snow
22,Vaini,TO,-21.2,-175.2,75.22,89,100,6.34,moderate rain
23,Atuona,PF,-9.8,-139.0333,79.03,72,43,7.98,scattered clouds
24,Kapaa,US,22.0752,-159.319,77.18,69,0,2.15,clear sky
25,San Eduardo,PH,12.1679,125.4503,79.43,81,58,1.0,broken clouds
26,Riyadh,SA,24.6877,46.7219,57.94,32,2,3.88,clear sky
27,Geraldton,AU,-28.7667,114.6,73.13,37,0,7.2,clear sky
28,Bluff,NZ,-46.6,168.3333,68.81,84,91,3.63,overcast clouds
29,Portel,BR,-1.9356,-50.8211,71.71,97,95,0.94,overcast clouds
30,Port Macquarie,AU,-31.4333,152.9167,80.89,67,37,4.35,scattered clouds
31,Aklavik,CA,68.2191,-135.0107,-28.48,98,9,1.61,clear sky
32,Baiyin,CN,36.5583,104.2081,21.56,72,96,0.9,overcast clouds
33,Shelburne,CA,44.0787,-80.2041,23.18,86,87,8.26,overcast clouds
34,Vardo,NO,70.3705,31.1107,19.6,88,100,5.7,light snow
35,Trat,TH,12.5,102.5,80.98,74,17,1.49,few clouds
36,Tura,IN,25.5198,90.2201,58.41,67,27,1.23,scattered clouds
37,Saint-Philippe,RE,-21.3585,55.7679,76.59,84,86,4.12,light rain
38,Keetmanshoop,NA,-26.5833,18.1333,72.28,69,52,3.33,broken clouds
39,Dunedin,NZ,-45.8742,170.5036,65.95,71,79,3.26,broken clouds
40,Port Alfred,ZA,-33.5906,26.891,71.15,93,67,2.82,broken clouds
41,Punta Arenas,CL,-53.15,-70.9167,51.12,53,89,8.68,overcast clouds
42,Port Hedland,AU,-20.3167,118.5667,86.05,74,2,3.6,clear sky
43,Hamilton,US,39.1834,-84.5333,32.88,63,97,1.79,overcast clouds
44,Pouembout,NC,-21.1333,164.9,85.12,66,21,2.93,few clouds
45,Xacmaz,AZ,41.4635,48.806,41.29,87,79,2.78,broken clouds
46,Saldanha,ZA,-33.0117,17.9442,65.23,90,69,2.19,broken clouds
47,Ushuaia,AR,-54.8,-68.3,46.6,60,97,2.71,overcast clouds
48,Victoria,HK,22.2855,114.1577,64.33,83,60,0.89,broken clouds
49,Roald,NO,62.5833,6.1333,34.32,64,0,6.17,clear sky
50,Qaanaaq,GL,77.484,-69.3632,1.38,69,95,3.7,overcast clouds
51,Qasigiannguit,GL,68.8193,-51.1922,16.05,88,100,3.44,overcast clouds
52,Zhigansk,RU,66.7697,123.3711,-29.76,95,85,9.1,overcast clouds
53,Faya,SA,18.3851,42.4509,52.32,64,5,1.38,clear sky
54,Airai,TL,-8.9266,125.4092,68.32,76,47,0.35,scattered clouds
55,Vlakhopoulon,GR,37.0333,21.7833,47.52,77,89,2.9,overcast clouds
56,Hami,CN,42.8,93.45,23.0,49,0,1.24,clear sky
57,Puerto Ayora,EC,-0.7393,-90.3518,73.04,86,86,3.46,overcast clouds
58,Bambous Virieux,MU,-20.3428,57.7575,76.21,80,98,3.92,overcast clouds
59,Agbor,NG,6.2518,6.1934,77.99,70,11,1.65,few clouds
60,Talnakh,RU,69.4865,88.3972,-3.8,98,100,1.39,light snow
61,Pangai,TO,-19.8,-174.35,80.71,74,100,7.72,overcast clouds
62,Hofn,IS,64.2539,-15.2082,42.1,86,100,13.95,light rain
63,Paratinga,BR,-12.6906,-43.1842,71.22,94,100,0.55,overcast clouds
64,Terrace,CA,54.5163,-128.6035,37.65,100,100,1.17,moderate rain
65,Hobart,AU,-42.8794,147.3294,69.12,88,90,0.45,light intensity drizzle
66,Butaritari,KI,3.0707,172.7902,81.48,77,99,6.96,overcast clouds
67,Nouadhibou,MR,20.931,-17.0347,69.01,51,100,5.51,overcast clouds
68,Elmina,GH,5.0898,-1.348,81.03,83,65,3.01,broken clouds
69,Georgetown,MY,5.4112,100.3354,80.53,79,20,1.34,few clouds
70,Byron Bay,AU,-28.65,153.6167,80.71,65,41,3.68,scattered clouds
71,Namibe,AO,-15.1961,12.1522,65.37,80,21,2.41,few clouds
